Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,5.27003665999655,0.0,0.0,355.6530769230769,29.510247679723225,0.0,0.0,317.41076923076923,87.2491482401076,0.1973173044814741,0.0022615384615384615,349.82538461538456,36.90367751520164,0.174015033206297,0.004715384615384616,326.67846153846153
August,1,0:30,4.038080038179174,0.0,0.0,342.0392307692308,20.53511152408964,0.0,0.0,280.5476923076923,57.85304124424789,0.3969608676143778,0.0068615384615384615,306.6976923076923,25.268003074774253,0.05403465272913263,0.0021384615384615383,301.6646153846154
August,1,1:00,3.079891554543438,0.0,0.0,294.85076923076923,9.046937244878652,0.19812792566284249,0.0219,409.31,44.8924573291404,1.177218361807997,0.026223076923076922,320.74692307692305,19.140340203779953,0.312429245480162,0.016323076923076923,373.31692307692305
August,1,1:30,2.1901451054531114,0.0,0.0,338.2761538461539,5.456882782625219,0.26700947215599247,0.04893076923076923,241.13538461538462,31.845782578848027,0.4453510209872747,0.013984615384615384,304.42846153846153,14.389680225143922,0.32498539339248117,0.022584615384615384,313.81692307692305
August,1,2:00,1.5057247599990138,0.0,0.0,336.1023076923077,4.1644631762139825,0.0,0.0,367.07384615384615,20.552230290502564,0.5414722211151638,0.02634615384615385,313.0276923076923,9.914420824979542,0.36347792039886534,0.03666153846153846,345.1223076923077
August,1,2:30,1.7110508636352433,0.021940936843691923,0.012823076923076921,295.0015384615385,5.600484961115357,0.0,0.0,364.4653846153846,25.537672291664077,1.1291580025575778,0.044215384615384615,316.4276923076923,7.6423660525883985,0.14320618233927182,0.018738461538461537,301.4446153846154
August,1,3:00,2.1217030709077016,0.027206761686177985,0.012823076923076921,191.99461538461537,9.477743780349064,0.0,0.0,341.61769230769227,22.994079433928608,0.8184123503137514,0.035592307692307694,393.7061538461539,2.6163054954807126,0.19119155543897512,0.07307692307692307,442.3715384615385
August,1,3:30,1.5057247599990138,0.05791249076919284,0.038461538461538464,307.6215384615385,9.76494813732934,0.0,0.0,378.5376923076923,31.744038864538606,0.017092944003982327,0.0005384615384615384,352.41076923076923,2.409755061626973,0.07414630958852225,0.03076923076923077,317.93384615384616
August,1,4:00,2.1901451054531114,0.033694540083894026,0.015384615384615385,245.52923076923076,12.995997153357429,0.24992302217995058,0.019230769230769232,264.3984615384615,39.17133000912617,1.1691135418108427,0.02984615384615385,297.2661538461538,5.370311280197253,0.12393026031224429,0.023076923076923075,267.7676923076923
August,1,4:30,3.148333589088847,0.17444189878620742,0.055407692307692304,326.0169230769231,17.016858151081273,0.4362860632119529,0.025638461538461537,253.3023076923077,48.0856446705437,0.4815962258542147,0.010015384615384617,340.33769230769224,12.117625452752776,0.3004238987247861,0.02479230769230769,322.0307692307692
August,1,5:00,6.091341074541465,1.3857800944581835,0.2275,335.13461538461536,20.319708256354435,0.0,0.0,210.55384615384614,66.21167869674473,0.8704289145595133,0.013146153846153846,300.57153846153847,23.891000182415983,1.5372939732762283,0.06434615384615384,271.9023076923077
